year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1_size_government,2c_protection_property_rights,2e_integrity_legal_system,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5_regulation
1970,IDN,Indonesia,4.27,50,4,9.035636652,9.395021125,2,6.810219259,4.5,2.05,0.333333333,2.920928502,0,0,7.276,10,4.319,5.4,6.6,0,4,1,3.311983333
1970,IRL,Ireland,6.75,16,2,6.9026986,6.532399257,6,6.478365952,10,7.875,1,8.3465,9.604475842,8.916,8.054,0,6.643618961,5.4,10,5,6.8,6.437725628,5.487090461
1970,ISR,Israel,4.79,42,4,0.798435718,7.202709474,10,4.000572596,7.4,3.325,0.962962963,6.348508132,9.340619047,8.052,8.086,0,6.369654762,4.066666667,4,2,3.355555556,2.967967968,3.871263418
1970,ITA,Italy,6.37,23,2,6.393278752,5.877725148,5,6.13550195,7,8.3,0.888888889,5.813297826,7.796437888,9.264,8.626,0,6.421609472,9.866666667,9.6,5,8.155555556,6.932599266,5.328382966
1970,JPN,Japan,7.68,5,1,8.100443168,9.702444604,10,9.267629258,9.6,9.55,1,8.033465217,9.288096484,9.724,8.708,0,6.930024121,8.133333333,9.8,2,6.644444444,7.153153153,7.53315991
1970,KEN,Kenya,5.11,39,3,5.509456918,9.69568157,4,4.801284622,4.9,4.125,1,4.694427536,8.905429389,7.748,6.936,0,5.897357347,6.266666667,3.8,0,3.355555556,7.958958959,6.821103517
1970,LUX,Luxembourg,8.01,2,1,7.75181709,5.297140689,7.25,6.524478889,10,10,1,8.3465,9.41213246,8.044,6.982,10,8.342,9.873333333,10,10,9.957777778,10,6.898943798
1970,MDG,Madagascar,5.43,35,3,7.598448312,9.005215125,0,5.534554479,2.0875,5.4375,0.555555556,2.998970707,9.137397167,9,8.62,0,8.919132389,0,9.6,0,3.2,4.74974975,4.066804371
1970,MYS,Malaysia,6.25,24,2,5.473986054,8.138631164,4,5.870872406,6.5,7.075,0.777777778,5.193085991,9.710394669,8.844,9.922,0,7.119098667,4.666666667,9.8,5,6.488888889,7.43993994,6.601697423
1970,NLD,Netherlands,7.01,13,1,5.806561589,5.03669185,4,4.947751146,10,10,0.888888889,7.882805556,9.526388248,9.608,8.766,10,9.475097062,8.866666667,10,2,6.955555556,8.908908909,5.771437788
1970,NZL,New Zealand,6.62,18,2,6.745411073,4.40054496,4,5.372705536,9.6,10,1,8.033465217,9.626951697,7.776,7.336,0,6.184737924,8.2,7.8,5,7,6.483983984,6.504308659
1970,NOR,Norway,6.19,26,2,4.712997857,4.535194054,4,4.41606397,9.1,10,1,7.720430435,9.005655854,8.56,7.438,0,6.250913964,8.933333333,10,0,6.311111111,8.358358358,6.264162513
1970,ALB,Albania,4.714375,91,4,7.732944592,4.86886921,4.6875,4.927106069,4.725,6.6375,0.962962963,5.140078938,3.288782926,9.63,9.956175,0,6.528725,5.842083333,0,0,5.894476496,1.421285885,3.127621817
1970,DZA,Algeria,3.74,93,4,5.536332368,8.037037164,7,6.268166184,3.6,3.25,0.5,2.816492391,7.844102442,9.352,8.916,0,6.52802561,7.16,0,0,2.386666667,0,2.885457246
